feature,importance
cat__acarbose_No,0.0002803111163623067
cat__medical_specialty_Surgery-Thoracic,0.0002656717448141774
cat__medical_specialty_Podiatry,0.0002334117084625942
cat__medical_specialty_Neurology,0.00022810628493906749
cat__medical_specialty_Surgery-Neuro,0.00021020934425145023
cat__repaglinide_Up,0.00021012469657141213
cat__medical_specialty_Osteopath,0.00019601441874369645
cat__payer_code_WC,0.00017719496071748138
cat__medical_specialty_Endocrinology,0.00017170433283408013
cat__rosiglitazone_Up,0.00016460071548649635
cat__acarbose_Steady,0.00014482662342250925
cat__medical_specialty_Hematology/Oncology,0.00014181661472636986
cat__medical_specialty_Psychology,0.00014124247936468255
cat__diag_1_group_substance_abuse,0.00013054799525772303
cat__chlorpropamide_Steady,0.00011324621949969651
cat__payer_code_OT,0.00010395153005540835
cat__chlorpropamide_No,0.0001038185452655829
cat__miglitol_Steady,9.890342225979531e-05
cat__medical_specialty_Pediatrics-CriticalCare,9.836014572933404e-05
cat__nateglinide_Up,9.56285337997189e-05
cat__medical_specialty_Otolaryngology,9.465248123857566e-05
cat__medical_specialty_InfectiousDiseases,9.395199164698433e-05
cat__medical_specialty_Ophthalmology,9.312718990678231e-05
cat__payer_code_CH,9.308592952065997e-05
cat__payer_code_SI,9.083820076724339e-05
cat__medical_specialty_Surgery-Cardiovascular,8.633474362180129e-05
cat__tolazamide_Steady,7.852332449393584e-05
cat__medical_specialty_Surgeon,6.998881732518452e-05
cat__diag_1_group_diabetes,6.921545006552408e-05
cat__tolbutamide_Steady,6.635460778180116e-05
cat__payer_code_MP,5.5732612194046034e-05
cat__medical_specialty_Rheumatology,4.089064211668225e-05
cat__admission_type_ Emergency Room,4.0863958397343534e-05
cat__chlorpropamide_Up,4.072474676351176e-05
cat__medical_specialty_Pediatrics-Pulmonology,4.015053999692328e-05
cat__medical_specialty_Hematology,4.000104568539306e-05
cat__medical_specialty_Anesthesiology,3.856102064198145e-05
cat__miglitol_No,3.788397725516149e-05
cat__medical_specialty_Pathology,3.711083486219902e-05
cat__glipizide-metformin_Steady,3.650700086668278e-05
cat__medical_specialty_Surgery-Plastic,3.587427627113651e-05
cat__medical_specialty_Surgery-Maxillofacial,3.535837877148405e-05
cat__medical_specialty_SurgicalSpecialty,3.530174278064263e-05
cat__acarbose_Up,3.460719438558254e-05
cat__medical_specialty_PhysicianNotFound,3.4093784293192254e-05
cat__medical_specialty_Hospitalist,3.3740545952846705e-05
cat__medical_specialty_Cardiology-Pediatric,3.368577990191763e-05
cat__medical_specialty_Pediatrics-Endocrinology,3.27595352189997e-05
cat__medical_specialty_Resident,3.267188745597551e-05
cat__medical_specialty_Radiology,3.257208640317832e-05
cat__acetohexamide_Steady,3.1967986166747534e-05
cat__medical_specialty_Obsterics&Gynecology-GynecologicOnco,3.168457547768949e-05
cat__medical_specialty_Pediatrics-Neurology,2.8863982670599224e-05
cat__medical_specialty_Gynecology,2.8385378345349797e-05
cat__medical_specialty_Anesthesiology-Pediatric,1.7493322830666157e-05
cat__medical_specialty_Endocrinology-Metabolism,0.0
cat__payer_code_FR,0.0
cat__medical_specialty_Dentistry,0.0
cat__medical_specialty_Dermatology,0.0
cat__medical_specialty_DCPTEAM,0.0
cat__medical_specialty_Obstetrics,0.0
cat__medical_specialty_Neurophysiology,0.0
cat__medical_specialty_OutreachServices,0.0
cat__medical_specialty_Pediatrics-AllergyandImmunology,0.0
cat__medical_specialty_Pediatrics-EmergencyMedicine,0.0
cat__medical_specialty_Pediatrics-InfectiousDiseases,0.0
cat__medical_specialty_Pediatrics-Hematology-Oncology,0.0
cat__medical_specialty_Perinatology,0.0
cat__medical_specialty_Surgery-Pediatric,0.0
cat__medical_specialty_Surgery-PlasticwithinHeadandNeck,0.0
cat__medical_specialty_Psychiatry-Child/Adolescent,0.0
cat__medical_specialty_Proctology,0.0
cat__medical_specialty_Psychiatry-Addictive,0.0
cat__medical_specialty_Speech,0.0
cat__medical_specialty_SportsMedicine,0.0
cat__medical_specialty_Surgery-Colon&Rectal,0.0
cat__troglitazone_Steady,0.0
cat__miglitol_Up,0.0
cat__metformin-rosiglitazone_Steady,0.0
cat__glyburide-metformin_Up,0.0
cat__tolazamide_Up,0.0
cat__glimepiride-pioglitazone_Steady,0.0
cat__metformin-pioglitazone_Steady,0.0
cat__admission_type_Transfer from a hospital,0.0
